"DealerName","DealerGuid","DealerId","Website","Domain","AntalBiler"
"Green Garage","4139619e-282e-ea11-a9bc-0050568635ef","12943","https://greengarage.dk/","greengarage.dk","109"
"Meng Biler ApS","8930c284-e2ff-e511-b637-0050568635ef","11689","https://www.mengbiler.dk/","mengbiler.dk","93"
"Gadeberg Auto ApS","31beec3f-924d-e111-b17c-d8d385a4b8b6","10359","https://www.gadeberg-auto.dk/","gadeberg-auto.dk","77"
"Via Biler A/S - Aarhus Vest","1dd2a3be-e376-e311-9f03-0050568635ef","11002","https://www.viabiler.dk/","viabiler.dk","66"
"AUTOTORVET.DK ApS","516b8720-c580-e211-8759-0050568635ef","10747","http://www.autotorvet.dk/","autotorvet.dk","60"
"Ayvens I Taastrup","924f2c48-fdca-df11-9e98-0025b3e6b7d8","5603","https://brugtebiler.ayvens.dk/","brugtebiler.ayvens.dk","59"
"Globus Biler A/S","4c2771b5-ffca-df11-9e98-0025b3e6b7d8","2640","https://www.globus.dk/","globus.dk","56"
"Aksel.nu ApS","5957a3d3-6bd9-4fe1-9d6f-dcea239e6c99","20127","https://www.aksel.nu/koeb-bil/","aksel.nu","42"
"LM ELBILER A/S","5df1166b-6f22-eb11-bcc8-0050568635ef","13256","https://www.lmelbiler.dk/","lmelbiler.dk","39"
"Ayvens I Fredericia","b1f2c98a-feca-df11-9e98-0025b3e6b7d8","8057","https://brugtebiler.ayvens.dk/","brugtebiler.ayvens.dk","38"
"CarCollect.dk","98584da8-4fb1-ea11-bcc8-0050568635ef","13106","https://carcollect.dk/","carcollect.dk","37"
"Uggerhøj Nordsjælland","11cc6c91-eb03-ec11-a3c3-0050568635ef","14534","https://www.uggerhoej.dk/kontakt/kokkedal/","uggerhoej.dk","34"
"EM-Bilkuben","75d7ed72-0623-ea11-afce-0050568635ef","12939","https://www.embilkuben.com/","embilkuben.com","34"
"Starmark Engros","ab330c65-c6a2-e311-bfcf-0050568635ef","11056","https://www.starmark.dk/","starmark.dk","32"
"Autocentralen Kolding","4ce878af-ffca-df11-9e98-0025b3e6b7d8","2252","https://www.autocentralen.com/","autocentralen.com","32"
"Mercedes Benz Starmark I/S","e0ef264e-fdca-df11-9e98-0025b3e6b7d8","5973","https://www.starmark.dk/","starmark.dk","32"
"Via Biler A/S - Svendborg","1bb2502a-fdca-df11-9e98-0025b3e6b7d8","1810","https://www.viabiler.dk/?utm_source=bilbasen&utm_medium=referral","viabiler.dk","31"
"Sørby Autocenter ApS","59304136-fdca-df11-9e98-0025b3e6b7d8","1566","https://www.sorby-auto.dk/","sorby-auto.dk","30"
"Nielsen Car Group Bilernes Hus A/S","8cab87d7-fdca-df11-9e98-0025b3e6b7d8","2632","https://www.bilerneshus.dk/","bilerneshus.dk","28"
"Kvalitetsbiler","c86369bb-ffca-df11-9e98-0025b3e6b7d8","2344","https://www.kvalitetsbiler.dk/","kvalitetsbiler.dk","27"
"Silkeborg Autoforum A/S","512771b5-ffca-df11-9e98-0025b3e6b7d8","2641","http://www.autoforum-silkeborg.dk/","autoforum-silkeborg.dk","27"
"Ejner Hessel A/S, Valby","b1a8b315-3665-eb11-9499-0050568635ef","13337","https://www.hessel.dk/","hessel.dk","27"
"Cars A/S","bab6c0d4-2b19-e711-b515-0050568635ef","12010","https://www.cars.dk/","cars.dk","26"
"Fjordlund Bilhus A/S","268a8bab-3d75-401c-b45a-883dc3cd3da3","22099","https://www.fjordlund.dk/","fjordlund.dk","26"
"Bilfirmaet ApS","e1e38648-9672-eb11-9499-0050568635ef","13347","https://www.bilfirmaet.dk/","bilfirmaet.dk","24"
"Carmark ApS","b1f8f911-cef8-e111-bd3f-d8d385a4b8b6","10583","https://www.carmark.dk/","carmark.dk","24"
"Select Car A/S","d1a1895c-5223-4122-83bd-5d0b770d6596","20463","https://www.selectcar.dk","selectcar.dk","22"
"S.E.J. Biler ApS","2254076c-fdca-df11-9e98-0025b3e6b7d8","5902","https://www.sej-biler.dk/","sej-biler.dk","22"
"Via Biler A/S - Silkeborg","0b92ff71-fdca-df11-9e98-0025b3e6b7d8","6459","https://www.viabiler.dk/","viabiler.dk","22"
"Kring & Nielsen ApS","711d35b7-3f9e-e911-b62c-0050568635ef","12777","https://www.kringnielsen.dk/","kringnielsen.dk","22"
"Bjarne Nielsen A/S - Holstebro","a16369bb-ffca-df11-9e98-0025b3e6b7d8","2801","https://www.bn.dk/","bn.dk","21"
"Ejner Hessel – Nykøbing (RN)","565ab392-fad8-df11-a986-0025b3e6b7d8","1737","https://www.hessel.dk/","hessel.dk","21"
"Ejner Hessel A/S, Kastrup","c9940dcd-3565-eb11-9499-0050568635ef","13336","https://www.hessel.dk","hessel.dk","21"
"Porsche Center København","ddb2502a-fdca-df11-9e98-0025b3e6b7d8","1169","http://www.porsche.dk","porsche.dk","20"
"Tesla Motors Denmark ApS - Køge","04b7cb3b-e3c1-4a2d-af49-c9a97122aa30","20906","https://tesla.com/da_dk","tesla.com","20"
"Andersen biler A/S - Holbæk","f8ce586d-7f61-e711-9a71-0050568635ef","12095","https://www.andersenbiler.dk/","andersenbiler.dk","19"
"Via Biler A/S - Brøndby","bfe678af-ffca-df11-9e98-0025b3e6b7d8","1361","https://www.viabiler.dk/brugte-biler/","viabiler.dk","19"
"Jørs Biler, Næstved","25cb72e9-fdca-df11-9e98-0025b3e6b7d8","1750","https://www.joers.dk/","joers.dk","19"
"MP Biler ApS","4a98e897-14b3-e211-9efd-0050568635ef","10781","https://www.mpbiler.dk/","mpbiler.dk","19"
"Volkswagen Slagelse","a12471b5-ffca-df11-9e98-0025b3e6b7d8","1789","https://www.vw-slagelse.dk/","vw-slagelse.dk","18"
"Autohuset Vestergaard A/S","c92671b5-ffca-df11-9e98-0025b3e6b7d8","1987","https://www.autohuset-vestergaard.dk/","autohuset-vestergaard.dk","18"
"Varebil-Leasing ApS","4e6fe7b1-f9eb-e811-bc8d-0050568635ef","12541","http://www.varebil-leasing.dk/","varebil-leasing.dk","18"
"Aunsbjerg Kolding A/S","a5b1502a-fdca-df11-9e98-0025b3e6b7d8","2257","https://www.aunsbjerg.com/brugte-biler/","aunsbjerg.com","18"
"Taastrup Bilsalg ApS","ba2c6bc4-2645-eb11-bcc8-0050568635ef","13301","https://tbbilsalg.dk/","tbbilsalg.dk","18"
"Mercedes-Benz Starmark Roskilde","7dea0e2b-689c-e711-a987-0050568635ef","12175","https://www.starmark.dk/","starmark.dk","17"
"Van Mossel Hørsholm","262c79bd-7c40-e711-9d69-0050568635ef","12058","https://www.vanmossel.dk/","vanmossel.dk","17"
"Bjarne Nielsen A/S","202871b5-ffca-df11-9e98-0025b3e6b7d8","2714","https://www.bn.dk/","bn.dk","17"
"Autohuset Ballerup A/S","095e00d5-9983-ea11-b2f4-0050568635ef","13031","https://leasevarebil.dk/","leasevarebil.dk","16"
"Ejner Hessel Slagelse","42808804-e60c-e011-90d0-0025b3e6b7d8","8916","https://www.hessel.dk/","hessel.dk","16"
"Bilnord","57d2d29b-fdca-df11-9e98-0025b3e6b7d8","6808","https://www.bilnord.dk","bilnord.dk","16"
"Silkeborg Autokommission ApS","ac69d173-4d0c-e111-af35-d8d385a4b8b6","10268","https://www.kjellerupbiler.dk/","kjellerupbiler.dk","16"
"Volkswagen Odense - en del af Semler Mobility","b86569bb-ffca-df11-9e98-0025b3e6b7d8","1950","https://www.semlermobility.dk/find-bil/?brands=volkswagen&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=vw-odense","semlermobility.dk","15"
"Auto-Centrum ApS","ba6569bb-ffca-df11-9e98-0025b3e6b7d8","1952","http://www.autocentrum-odense.dk/","autocentrum-odense.dk","15"
